what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1289090027201
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1289090027207
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1289090027233
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1289090027233
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1289090027234
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1289090027234
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1289090027246
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1289090027256
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1289090027272
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1289090027272
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1289090027283
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1289090027419
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1289090027419
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1289090027420
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1289090027428
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1289090027434
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1289090027443
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1289090027453
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1289090027461
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1289090027472
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1289090027473
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1289090027475
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1289090027517
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1289090027522
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1289090027522
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1289090027613
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1289090027645
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1289090027666
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1289090027677
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1289090027714
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1289090027739
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1289090027783
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1289090027783
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1289090027797
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1289090027844
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1289090027856
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1289090027861
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1289090027861
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1289090027865
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1289090027878
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1289090027892
os,sysinfo,,,"linux",1289090027895
arch,sysinfo,,,"x86",1289090027895
ws,sysinfo,,,"gtk",1289090027895
locale,sysinfo,,,"en_US",1289090027895
processors,sysinfo,,,"1",1289090027895
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1289090027895
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1289090027895
java.specification.name,sysinfo,,,"Java Platform API Specification",1289090027895
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289090027895
java.specification.version,sysinfo,,,"1.6",1289090027895
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289090027895
java.version,sysinfo,,,"1.6.0_20",1289090027895
java.vm.info,sysinfo,,,"mixed mode, sharing",1289090027895
java.vm.name,sysinfo,,,"OpenJDK Client VM",1289090027895
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289090027895
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289090027895
java.vm.specification.version,sysinfo,,,"1.0",1289090027895
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289090027895
java.vm.version,sysinfo,,,"17.0-b16",1289090027895
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1289090028039
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1289090028235
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1289090028309
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1289090028487
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1289090028535
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289090028786
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1289090028804
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1289090028819
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1289090029058
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1289090029083
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1289090114288
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1289090114860
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1289090114878
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1289090114926
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1289090115247
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1289090117428
started,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1289090117584
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1289090117602
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1289090117653
error,log,,,"Error logged from Debug Core: ",1289090117700
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1289090117732
error,log,,,"Error logged from Debug Core: ",1289090119739
error,log,,,"Error logged from Debug Core: ",1289090121032
error,log,,,"Error logged from Debug Core: ",1289090123245
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289090191229
error,log,,,"Error logged from Debug Core: ",1289090200862
error,log,,,"Error logged from Debug Core: ",1289090203482
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090214312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090216287
error,log,,,"Error logged from Debug Core: ",1289090217819
error,log,,,"Error logged from Debug Core: ",1289090221934
error,log,,,"Error logged from Debug Core: ",1289090223321
error,log,,,"Error logged from Debug Core: ",1289090224452
error,log,,,"Error logged from Debug Core: ",1289090225895
error,log,,,"Error logged from Debug Core: ",1289090227201
error,log,,,"Error logged from Debug Core: ",1289090228479
error,log,,,"Error logged from Debug Core: ",1289090232693
error,log,,,"Error logged from Debug Core: ",1289090233820
error,log,,,"Error logged from Debug Core: ",1289090235309
error,log,,,"Error logged from Debug Core: ",1289090236642
error,log,,,"Error logged from Debug Core: ",1289090237781
error,log,,,"Error logged from Debug Core: ",1289090239051
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1289090247828
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1289090248117
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090249581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090251016
error,log,,,"Error logged from Debug Core: ",1289090252252
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090253468
error,log,,,"Error logged from Debug Core: ",1289090254050
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090254191
error,log,,,"Error logged from Debug Core: ",1289090255518
error,log,,,"Error logged from Debug Core: ",1289090256663
error,log,,,"Error logged from Debug Core: ",1289090257655
error,log,,,"Error logged from Debug Core: ",1289090258657
error,log,,,"Error logged from Debug Core: ",1289090259753
error,log,,,"Error logged from Debug Core: ",1289090260751
error,log,,,"Error logged from Debug Core: ",1289090262096
error,log,,,"Error logged from Debug Core: ",1289090263220
error,log,,,"Error logged from Debug Core: ",1289090264378
error,log,,,"Error logged from Debug Core: ",1289090265425
error,log,,,"Error logged from Debug Core: ",1289090266556
error,log,,,"Error logged from Debug Core: ",1289090267652
error,log,,,"Error logged from Debug Core: ",1289090268750
error,log,,,"Error logged from Debug Core: ",1289090269980
error,log,,,"Error logged from Debug Core: ",1289090271095
error,log,,,"Error logged from Debug Core: ",1289090272237
error,log,,,"Error logged from Debug Core: ",1289090273708
error,log,,,"Error logged from Debug Core: ",1289090274870
error,log,,,"Error logged from Debug Core: ",1289090275803
error,log,,,"Error logged from Debug Core: ",1289090276796
error,log,,,"Error logged from Debug Core: ",1289090277681
error,log,,,"Error logged from Debug Core: ",1289090278565
error,log,,,"Error logged from Debug Core: ",1289090279472
error,log,,,"Error logged from Debug Core: ",1289090280368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090281192
error,log,,,"Error logged from Debug Core: ",1289090281780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090281917
error,log,,,"Error logged from Debug Core: ",1289090283748
error,log,,,"Error logged from Debug Core: ",1289090284678
error,log,,,"Error logged from Debug Core: ",1289090285552
error,log,,,"Error logged from Debug Core: ",1289090286489
error,log,,,"Error logged from Debug Core: ",1289090287411
error,log,,,"Error logged from Debug Core: ",1289090288389
error,log,,,"Error logged from Debug Core: ",1289090289356
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090290219
error,log,,,"Error logged from Debug Core: ",1289090290764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090290897
error,log,,,"Error logged from Debug Core: ",1289090291865
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090295498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090297091
error,log,,,"Error logged from Debug Core: ",1289090298276
error,log,,,"Error logged from Debug Core: ",1289090299898
error,log,,,"Error logged from Debug Core: ",1289090300965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090302920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090304464
error,log,,,"Error logged from Debug Core: ",1289090305619
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090306730
error,log,,,"Error logged from Debug Core: ",1289090307345
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289090307366
error,log,,,"Error logged from Debug Core: ",1289090308554
error,log,,,"Error logged from Debug Core: ",1289090309794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289090336551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289090344542
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1289090655396
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289090671423
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289090673204
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1289090676640
error,log,,,"Error logged from Debug Core: ",1289090679761
error,log,,,"Error logged from Debug Core: ",1289090681818
error,log,,,"Error logged from Debug Core: ",1289090682992
error,log,,,"Error logged from Debug Core: ",1289090684098
error,log,,,"Error logged from Debug Core: ",1289090685073
error,log,,,"Error logged from Debug Core: ",1289090689491
error,log,,,"Error logged from Debug Core: ",1289090690691
error,log,,,"Error logged from Debug Core: ",1289090691787
error,log,,,"Error logged from Debug Core: ",1289090693015
error,log,,,"Error logged from Debug Core: ",1289090695272
error,log,,,"Error logged from Debug Core: ",1289090696395
error,log,,,"Error logged from Debug Core: ",1289090697537
error,log,,,"Error logged from Debug Core: ",1289090698697
error,log,,,"Error logged from Debug Core: ",1289090699848
error,log,,,"Error logged from Debug Core: ",1289090700933
error,log,,,"Error logged from Debug Core: ",1289090702170
error,log,,,"Error logged from Debug Core: ",1289090703374
error,log,,,"Error logged from Debug Core: ",1289090704819
error,log,,,"Error logged from Debug Core: ",1289090705883
error,log,,,"Error logged from Debug Core: ",1289090707087
error,log,,,"Error logged from Debug Core: ",1289090712095
error,log,,,"Error logged from Debug Core: ",1289090713632
error,log,,,"Error logged from Debug Core: ",1289090714715
error,log,,,"Error logged from Debug Core: ",1289090715813
error,log,,,"Error logged from Debug Core: ",1289090717124
error,log,,,"Error logged from Debug Core: ",1289090718059
error,log,,,"Error logged from Debug Core: ",1289090718951
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1289090875993
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1289090878128
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1289090888274
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1289090890945
